gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
FOSL1,18.306833,2.557576,7.299372203481947e-75,4.9550738293636695e-73
MTIF2,18.267279,1.245544,1.5078263975585365e-74,1.0189136881501811e-72
UCHL1,18.247355,3.2402632,2.1717439005778236e-74,1.4642281495664497e-72
GBP1,18.237127,1.8866478,2.6186317907587997e-74,1.7575570888178643e-72
KDELR2,18.235466,0.58708537,2.699433017239087e-74,1.8077081509362562e-72
ETV5,18.205187,4.3229795,4.694548268670176e-74,3.129663759470187e-72
GLTSCR2,18.178617,0.6583001,7.623092007784678e-74,5.070635227459996e-72
RGCC,18.173626,2.318315,8.349420987515276e-74,5.529027488235895e-72
CMAS,18.173391,0.8607581,8.385288458671326e-74,5.540439594259434e-72
COL8A1,18.168524,5.733376,9.163062512763097e-74,6.040916578536256e-72
SOCS3,18.137457,1.0676491,1.6132605737894306e-73,1.0565435383365891e-71
MT1X,18.124952,0.8787535,2.0251937255398268e-73,1.3234084624500147e-71
FNTA,18.099539,0.8010361,3.213452189413333e-73,2.0952976742944438e-71
MMP7,18.094143,4.4639487,3.54412834393481e-73,2.3058548807486587e-71
FERMT1,18.091051,4.790801,3.7487441394444946e-73,2.4336552292162263e-71
PTPN14,18.077692,1.3828164,4.776611495565122e-73,3.0941827799049623e-71
NASP,18.062517,0.8233545,6.288939956819477e-73,4.047382072210249e-71
CHI3L1,18.059109,3.5072963,6.689364220851509e-73,4.295785450941208e-71
TMEM126B,18.051678,1.1783619,7.652949464875885e-73,4.903990224981782e-71
AKAP13,18.034105,1.060086,1.0518472560090244e-72,6.711282073587194e-71
REL,17.975618,0.8189544,3.0247245301651375e-72,1.915963168653229e-70
FEZ2,17.975546,0.92993206,3.0286304418222773e-72,1.915963168653229e-70
IL27RA,17.949587,3.2710786,4.834871894949549e-72,3.0456619926384517e-70
COL1A2,17.943434,4.4028435,5.401154847222565e-72,3.395191058614556e-70
SNX8,17.93325,1.3396919,6.487347311804142e-72,4.069373367550053e-70
ITGB1,17.929907,0.79250795,6.889452309762087e-72,4.31250706370855e-70
TNFRSF12A,17.894054,0.7616615,1.3120345537002175e-71,8.178348718064689e-70
WARS,17.873854,1.2192873,1.885090663359355e-71,1.172581604469952e-69
ZFAND5,17.851934,0.69566745,2.7919145797849327e-71,1.7330270605583594e-69
MPHOSPH10,17.842884,1.0114162,3.2830489486810578e-71,2.0294156838073574e-69
HLA-DMA,17.835022,1.8919765,3.779046247903634e-71,2.3311697528821315e-69
PGM1,17.785229,0.91696376,9.198809419405518e-71,5.662695661846465e-69
LAMA4,17.784718,4.6997037,9.283092557645872e-71,5.702772541662908e-69
SRPK1,17.766441,0.8177625,1.2859563407587573e-70,7.883575232944357e-69
TMEM55A,17.761295,2.561282,1.4094422045501373e-70,8.587488743419925e-69
SEPT11,17.7446,1.2260077,1.8974232028879305e-70,1.1513486549278945e-68
ANXA2,17.738346,0.6135059,2.1208501018246114e-70,1.284302160438924e-68
SGCE,17.700285,1.9700686,4.171852583229867e-70,2.5211726190482447e-68
ODC1,17.687237,1.3798397,5.259200182888429e-70,3.171841765473056e-68
IL15RA,17.686108,3.0154567,5.365689784516879e-70,3.2295152705068897e-68
PSMD7,17.648827,0.79326683,1.0389370207947761e-69,6.227966620824814e-68
RSU1,17.616182,0.894159,1.8508356287155097e-69,1.1050380672409288e-67
ASUN,17.61229,1.5228876,1.9826386006813022e-69,1.1813585874560553e-67
RND3,17.603971,1.2550967,2.296429869080976e-69,1.3655949859476933e-67
EIF3M,17.602266,0.64272887,2.3666230473416596e-69,1.4045270073175563e-67
LYSMD2,17.593979,1.5992013,2.7394760147436307e-69,1.6193407623533275e-67
LMO4,17.557495,0.70656914,5.212471182109396e-69,3.0750477313027516e-67
PICALM,17.543484,1.1660041,6.671044144789247e-69,3.927725852614231e-67
C1R,17.524,2.6821356,9.397898440022633e-69,5.5222868442133e-67
SNX3,17.522602,0.5807813,9.63176438933255e-69,5.64854537648964e-67
EIF2A,17.502342,0.681981,1.3749678075372565e-68,8.031810966896905e-67
SAV1,17.49135,1.1256822,1.6675708020483676e-68,9.683961456504709e-67
PRSS21,17.484827,4.6115265,1.8697734263162603e-68,1.0815948109856297e-66
CD320,17.473969,0.9291722,2.2619626164649244e-68,1.3059210577738172e-66
