gene,spearman_r,pval
HLA-DRA,0.24051770146989848,0.0
AGR3,0.2465395414193694,0.0
TNFRSF11B,0.24724105898093895,0.0
SCGB2B2,0.2475104573549017,0.0
KLK6,0.250285090409191,0.0
C2orf40,0.25332535222103747,0.0
LYZ,0.2541737777380627,0.0
HLA-DPB1,0.25559077324802804,0.0
CALML5,0.2609678832616983,0.0
CXCL13,0.2625747741302234,0.0
NME1,0.26445299164225144,0.0
HLA-DRB1,0.2684196081415404,0.0
H2AFJ,0.2687456226113711,0.0
C6orf15,0.269003427292064,0.0
NBL1,0.2691667981386794,0.0
FOLR1,0.27105037630163453,0.0
PHGR1,0.27459742309043017,0.0
LEMD1,0.27467432826120736,0.0
FXYD3,0.275238827692258,0.0
SAA2,0.275513087407958,0.0
SLITRK6,0.27794513862403875,0.0
ZNF90,0.2813851477948014,0.0
PRSS21,0.2819078247764299,0.0
GAL,0.2849372342529953,0.0
