gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
AC016700.5,3.2354262,0.48357987,0.0012146126166839482,0.004861229900641248
DNAJC3-AS1,3.23526,0.07232326,0.001215319679566505,0.004863405118782085
AC253572.1,3.2323053,0.37821928,0.0012279581972480323,0.004912658918026876
EFCAB2,3.2320726,-0.17005986,0.001228958233941108,0.004915998273882815
SCD5,3.2319014,0.5443478,0.0012296950053956237,0.004918283776624708
UNKL,3.2315078,0.017646655,0.0012313900267422353,0.0049244007619538505
MRPL10,3.2314515,-0.12753634,0.0012316323487167214,0.0049247074535226296
GAPLINC,3.2313747,1.794662,0.001231962858745642,0.004925366636961701
FBXL15,3.228489,-0.07030101,0.0012444607594188327,0.004974664124737854
D2HGDH,3.2277348,-0.15464893,0.0012477456131095826,0.004987124655812236
RANBP10,3.2262037,0.23380624,0.0012544401834057469,0.005013208329731596
FOXC2,3.2241333,23.735294,0.001263545692895492,0.005048918705397348
AFP,3.2239008,3.0354326,0.001264572461397571,0.005052342514745227
TRAF4,3.2224002,0.07856306,0.0012712142147197855,0.005078195921841109
NCBP1,3.221595,-0.012888835,0.0012747916215655598,0.005091802698013002
PRELID2,3.2213855,0.084381185,0.0012757244063702552,0.005094844026139261
GPSM3,3.220882,0.62653464,0.0012779679407308468,0.005103118557849889
CNIH3,3.2203298,0.22339185,0.0012804320422897186,0.005112271507103559
APCDD1,3.2197828,2.704956,0.0012828776524642276,0.005121348179473534
PHLPP2,3.2186964,0.40006998,0.0012877473779849791,0.005139408428137903
ITGA10,3.2181418,0.9576145,0.0012902403772663306,0.005148666908771951
CUTC,3.217904,0.12762757,0.0012913101685991428,0.005152244396532247
IRAK1BP1,3.2174158,0.42307726,0.0012935098347443778,0.005160328447129289
PAN3,3.2155063,-0.04886502,0.0013021459716063774,0.005193387816736743
PTGFRN,3.2151895,0.1362871,0.0013035846864940669,0.005198428578799368
ZNF48,3.214144,0.12708253,0.0013083405312473756,0.005215994772804803
EDC3,3.2140265,0.050675217,0.0013088764189623447,0.00521743163493865
TMEM11,3.2136557,-0.05100121,0.0013105669561253822,0.005223470148321177
IPO13,3.212687,0.20104443,0.0013149951916257394,0.0052404171066355865
VANGL1,3.2113705,-0.0248853,0.0013210345807863752,0.005263779307226118
SRPRB,3.2108848,-0.019658651,0.0013232691605883126,0.00527197667851699
PHF11,3.2100952,-0.10577012,0.0013269107427912035,0.005285068602198373
BBOX1,3.2094612,1.520366,0.0013298401230099793,0.005296026838662699
DGKG,3.2089832,4.926888,0.0013320529149001778,0.0053041287422963684
C1QB,3.2086918,1.9817892,0.0013334035559004393,0.005308795919602003
TBCD,3.2082446,-0.08239947,0.0013354793670889568,0.005316348643949117
IK,3.208155,-0.07150383,0.0013358948869432608,0.005317290853210707
MARS2,3.2074213,0.8361582,0.0013393066517001153,0.005330157231294275
GLB1,3.2072833,-0.1320055,0.001339949484403792,0.005332001876308612
NHSL1,3.2065063,0.36958188,0.0013435737095669452,0.005345708163596144
TAB1,3.2055783,0.31262612,0.001347913166270234,0.005362256110879431
SAMD9,3.2048526,0.17899963,0.001351317234256599,0.005374885004432044
SNW1,3.2048244,-0.027119711,0.0013514492413525029,0.005374885004432044
CNPY2,3.2032576,-0.0007835801,0.001358824467620802,0.005402771850196483
GALK2,3.2021608,-0.09169298,0.0013640079864780414,0.0054226567003545405
OSR1,3.2014732,2.6057389,0.001367267555602744,0.005434162041269401
NONO,3.201302,0.069189966,0.0013680805353703917,0.005436666473959884
DNAJB14,3.2011309,-0.093851134,0.0013688939609808365,0.005439172008799039
ZBTB5,3.199022,0.6253365,0.0013789466534010178,0.00547838333051476
ZNF286A,3.1986947,0.52403146,0.0013805124311005266,0.005483770653153191
SULF1,3.1986616,1.5351604,0.0013806715470858907,0.005483770653153191
KCNK2,3.1957476,1.1932772,0.0013946907506211055,0.005537972768191417
AC009133.12,3.1951802,0.5140452,0.001397436029571599,0.0055481326568637135
CLYBL,3.1942496,0.45028117,0.0014019480828720975,0.005565003933779595
ANKRD44,3.1942267,1.4436278,0.0014020598146148372,0.005565003933779595
STAU1,3.192077,0.09436842,0.0014125368304975785,0.005605092430426332
ZBED4,3.1916194,0.36403257,0.0014147760741706596,0.005613228851523382
C1orf186,3.191259,3.67093,0.0014165422515416597,0.005619486426295953
