gene_symbol,ig_mean,n_cells,ig_rank
COA5,0.0089820114874535,11,650
ZCRB1,0.008966882782433891,21,651
ANAPC5,0.008951971743954346,12,652
CHCHD10,0.008951138767237165,58,653
RPS27,0.008946090050402188,31,654
SUMO1,0.008939995309980265,29,655
LYRM1,0.008929833845468239,15,656
RPL29,0.008924804500091577,46,657
ELAPOR1,0.008922774330130778,16,658
TOMM40,0.008922227764560375,40,659
EIF3M,0.00891837073002188,21,660
FN3K,0.008903647441184149,10,661
TOP1,0.008900879882276058,17,662
LAMTOR1,0.008895799782211807,22,663
STARD10,0.008895070661845453,17,664
SMIM15,0.008870336768897967,13,665
EI24,0.008864869751657048,33,666
ZC3H15,0.00885425136766571,16,667
CKS2,0.008853652953500083,24,668
NELFCD,0.008843099615270538,14,669
PFDN2,0.008837519314381228,56,670
ETFA,0.008829202246167423,17,671
RPS9,0.008818876743316651,45,672
PRRC2C,0.008814427698256843,33,673
CALR,0.008809789090746027,68,674
GTF2F2,0.008806897284971043,11,675
VASP,0.008803041046485304,10,676
KARS1,0.008782164480847617,15,677
YIPF3,0.00877522032105309,17,678
PRDX2,0.008760304608119603,39,679
PNRC1,0.00875649460297274,19,680
MT-ND4,0.008753058932987707,70,681
HNRNPA2B1,0.008752046385779977,40,682
ARSD,0.008749224687926471,10,683
IP6K2,0.00873915092961397,12,684
TCP1,0.008736526384821227,29,685
LDHA,0.008734909228091552,55,686
EIF1AX,0.008734299094482725,28,687
GSTO1,0.008731689113615588,11,688
VDAC3,0.008708879435046887,15,689
PEX13,0.008682659012265503,16,690
NOL7,0.008677658857777715,18,691
PPA1,0.008662884321806598,84,692
SYNGR2,0.008635531196853629,54,693
JUP,0.008613295940449461,12,694
AUP1,0.008605955388206481,22,695
TSPAN13,0.00860569874960359,49,696
LMO4,0.008602623728802428,20,697
DPY30,0.008594882911657569,27,698
RAC3,0.008583759694981078,24,699
ENO1,0.008577704218623694,48,700
CAPRIN1,0.008564584207935976,13,701
NECTIN4,0.008560571759180338,27,702
POMP,0.008555338903632317,37,703
TXNL1,0.008552613770589232,25,704
SLC25A33,0.00852809833466179,18,705
SEC61B,0.008505826641339809,28,706
LAD1,0.008501318833706055,22,707
DYNLL1,0.008496160988750704,51,708
DNAJA1,0.008490150591663631,29,709
GRB7,0.008486439801728059,19,710
AR,0.008463269397907425,24,711
PGK1,0.008462799776073856,24,712
NAE1,0.00846009380184114,10,713
ATP1B3,0.00844984536524862,32,714
SSR4,0.008442560117833725,41,715
RNPS1,0.00843542753516332,23,716
LGALS3,0.008401720944675617,32,717
PTS,0.008389707356400322,32,718
PPP1CB,0.008384431458332321,11,719
SEC61G,0.008356889292675381,42,720
IFI27,0.008333433851865786,28,721
HSPA1A,0.008331010380061343,40,722
